Data source,Industrial sites guide FY2023 (2023年度版　産業立地ガイド),,,
,https://www.jilc.or.jp/files/libs/2938/202311141144078185.pdf,,,
,,,,
Industrial park,Total area (ha),Total area for sale (ha),Available for sale (ha),Availability
 石狩湾新港地域,3022,1372,141.3,0.047
 江別ＲＴＮパーク,95.85,44.61,0.75,0.008
千歳臨空工業団地,433.8,214.27,16.25,0.037
苫小牧西部工業基地 ( 臨海部 ),1721.6,1240.5,45.9,0.027
西港臨海工業団地,279.9,228.2,18.14,0.065
後藤野工業団地,140.4,120.3,5,0.036
第二仙台北部中核,308.6,151.1,27.7,0.09
七曲臨空港工業団地,66.99,50.1,20.8,0.31
 酒田臨海工業団地,345.06,262,12.5,0.036
相馬中核工業団地,632.5,365.4,14.8,0.023
茨城中央工業団地 (1 期地区 ),103.7,69.5,11.2,0.108
那須高林産業団地,18.2,10.9,1.4,0.077
館林北部第四地区工業団地,19.3,13,13,0.674
久喜高柳地区産業団地 ,18.9,15.8,15.8,0.836
D プロジェクト千葉四街道,51.2,8.42,1.1,0.021
川口土地区画整理事業,172.3,46.1,46.1,0.268
森の里東地区,68,22.5,0.67,0.01
五泉市村松工業団地,27.3,3.6,0.4,0.015
 富山新港臨海工業用地,585.3,426.83,5.62,0.01
能登中核工業団地,159.3,87.6,3.7,0.023
テクノポート福井,1247.2,764.3,16.9,0.014
中初狩地区企業跡地,3.24,3.24,3.24,1
長峰工業団地,23.97,9.87,2.49,0.104
恵那西工業団地,16.05,12.07,4.35,0.271
 新産業集積エリア,36.3,29.13,6.38,0.176
田原 1 区,596.9,541,30.9,0.052
木曽岬新輪工業団地,19.65,19.65,13.21,0.672
栗東市蜂屋・手原・上鈎・下鈎,18.1,18.1,0.11,0.006
森本工業団地,15.18,7.23,0.57,0.038
大阪港 咲洲地区 ( コスモスクエア地区含む ),1045,610.52,3.52,0.003
ポートアイランド第 2 期,390,110.3,26.4,0.068
御所 IC 工業団地,13.2,8,8,0.606
梅原 ( 和歌山大学前駅 ) 用地,27,14.2,14.2,0.526
鳥取南インター布袋工業団地,18.5,13.5,2.68,0.145
ソフトビジネスパーク島根,78.2,23.5,4.9,0.063
津山産業・流通センター,93.2,50.65,3.7,0.04
阿賀マリノポリス地区,46.38,27.6,9.5,0.205
鋳銭司第二団,23.32,10.26,9.3,0.399
徳島空港臨空用地,11.8,1.07,1.07,0.091
林田・阿河浜地区臨海工業団地,73.5,56.9,0.57,0.008
広見工業団地,0.95,0.95,0.95,1
高知テクノパーク,11.6,7.58,0.56,0.048
ひびき灘開発(株)用地,36,35,17.3,0.481
七ッ島工業団地,138,127.9,3.8,0.028
平野工業団地,4.65,4.03,1.7,0.366
名石浜工業用地,116.5,101.6,5.75,0.049
大分北部中核工業団地,92,50.43,6.43,0.07
宮崎フリーウェイ工業団地,50.91,28.05,3.99,0.078
 鹿児島臨空団地,23.53,18.77,2.8,0.119
中城湾港新港地区工業団地,382.4,192.62,6.9,0.018
,,,,
Total,12923.43,7650.75,614.3,0.04753382
